"trialid","option1attribute1","option1attribute2","option2attribute1","option2attribute2","option3attribute1","option3attribute2","ppntid","choice"
1,0.25,0.75,0.75,0.25,0.15,0.75,1,1
2,0.25,0.75,0.75,0.25,0.25,0.6,1,1
3,0.25,0.75,0.75,0.25,0.15,0.65,1,1
4,0,1,1,0,0.5,0.5,1,3
5,0.25,0.75,0.75,0.25,0.2,0.8,1,2
6,0.25,0.75,0.75,0.25,0.3,0.7,1,2
1,0.25,0.75,0.75,0.25,0.15,0.75,1,1
2,0.25,0.75,0.75,0.25,0.25,0.6,1,1
3,0.25,0.75,0.75,0.25,0.15,0.65,1,1
4,0,1,1,0,0.5,0.5,1,3
5,0.25,0.75,0.75,0.25,0.2,0.8,1,2
6,0.25,0.75,0.75,0.25,0.3,0.7,1,2
1,0.25,0.75,0.75,0.25,0.15,0.75,1,1
2,0.25,0.75,0.75,0.25,0.25,0.6,1,1
3,0.25,0.75,0.75,0.25,0.15,0.65,1,1
4,0,1,1,0,0.5,0.5,1,3
5,0.25,0.75,0.75,0.25,0.2,0.8,1,2
6,0.25,0.75,0.75,0.25,0.3,0.7,1,2
1,0.25,0.75,0.75,0.25,0.15,0.75,1,1
2,0.25,0.75,0.75,0.25,0.25,0.6,1,1
3,0.25,0.75,0.75,0.25,0.15,0.65,1,1
4,0,1,1,0,0.5,0.5,1,3
5,0.25,0.75,0.75,0.25,0.2,0.8,1,2
6,0.25,0.75,0.75,0.25,0.3,0.7,1,2
1,0.25,0.75,0.75,0.25,0.15,0.75,1,1
2,0.25,0.75,0.75,0.25,0.25,0.6,1,1
3,0.25,0.75,0.75,0.25,0.15,0.65,1,1
4,0,1,1,0,0.5,0.5,1,3
5,0.25,0.75,0.75,0.25,0.2,0.8,1,2
6,0.25,0.75,0.75,0.25,0.3,0.7,1,2
1,0.25,0.75,0.75,0.25,0.15,0.75,1,1
2,0.25,0.75,0.75,0.25,0.25,0.6,1,1
3,0.25,0.75,0.75,0.25,0.15,0.65,1,1
4,0,1,1,0,0.5,0.5,1,3
5,0.25,0.75,0.75,0.25,0.2,0.8,1,2
6,0.25,0.75,0.75,0.25,0.3,0.7,1,2
1,0.25,0.75,0.75,0.25,0.15,0.75,1,1
2,0.25,0.75,0.75,0.25,0.25,0.6,1,1
3,0.25,0.75,0.75,0.25,0.15,0.65,1,1
4,0,1,1,0,0.5,0.5,1,3
5,0.25,0.75,0.75,0.25,0.2,0.8,1,2
6,0.25,0.75,0.75,0.25,0.3,0.7,1,2
1,0.25,0.75,0.75,0.25,0.15,0.75,1,1
2,0.25,0.75,0.75,0.25,0.25,0.6,1,1
3,0.25,0.75,0.75,0.25,0.15,0.65,1,1
4,0,1,1,0,0.5,0.5,1,3
5,0.25,0.75,0.75,0.25,0.2,0.8,1,2
6,0.25,0.75,0.75,0.25,0.3,0.7,1,2
1,0.25,0.75,0.75,0.25,0.15,0.75,1,1
2,0.25,0.75,0.75,0.25,0.25,0.6,1,1
3,0.25,0.75,0.75,0.25,0.15,0.65,1,1
4,0,1,1,0,0.5,0.5,1,3
5,0.25,0.75,0.75,0.25,0.2,0.8,1,2
6,0.25,0.75,0.75,0.25,0.3,0.7,1,2
1,0.25,0.75,0.75,0.25,0.15,0.75,1,1
2,0.25,0.75,0.75,0.25,0.25,0.6,1,1
3,0.25,0.75,0.75,0.25,0.15,0.65,1,1
4,0,1,1,0,0.5,0.5,1,3
5,0.25,0.75,0.75,0.25,0.2,0.8,1,2
6,0.25,0.75,0.75,0.25,0.3,0.7,1,2
